"REF_DATE","GEO","DGUID","Destination of electronic orders","Number and value of electronic orders","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499539","5.3.1","1410.4","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499540","5.3.2","3.4","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499541","5.3.3","157607.2","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499542","5.3.4","376.8","","","","1"
"2005","Alberta","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499543","6.1.1","5874.7","","","","1"
"2005","Alberta","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499544","6.1.2","7.6","","","","1"
"2005","Alberta","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499545","6.1.3","1062221.2","","","","1"
"2005","Alberta","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499546","6.1.4","1378.0","","","","1"
"2005","Alberta","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499547","6.2.1","3559.5","","","","1"
"2005","Alberta","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499548","6.2.2","4.6","","r","","1"
"2005","Alberta","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499549","6.2.3","702880.8","","","","1"
"2005","Alberta","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499550","6.2.4","911.9","","r","","1"
"2005","Alberta","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499551","6.3.1","2315.2","","","","1"
"2005","Alberta","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499552","6.3.2","3.0","","","","1"
"2005","Alberta","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499553","6.3.3","359340.4","","","","1"
"2005","Alberta","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499554","6.3.4","466.2","","","","1"
"2005","British Columbia","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499555","7.1.1","8357.7","","","","1"
"2005","British Columbia","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499556","7.1.2","8.0","","","","1"
"2005","British Columbia","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499557","7.1.3","1353155.0","","","","1"
"2005","British Columbia","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499558","7.1.4","1302.1","","","","1"
"2005","British Columbia","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499559","7.2.1","4201.1","","","","1"
"2005","British Columbia","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499560","7.2.2","4.0","","r","","1"
"2005","British Columbia","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499561","7.2.3","810568.2","","","","1"
"2005","British Columbia","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499562","7.2.4","780.0","","r","","1"
"2005","British Columbia","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499563","7.3.1","4156.6","","","","1"
"2005","British Columbia","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499564","7.3.2","4.0","","","","1"
"2005","British Columbia","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499565","7.3.3","542586.8","","","","1"
